v_para,v_perp_0,v_perp_1,f(v),counts
-1169.5480156578353,-1913.3205173218357,-38.83499272441839,0.0,0.0
-1599.0861722958396,-1571.2447985271538,-65.26379525885356,0.0,0.0
-1957.7175552035278,-1090.623421180637,-89.60063389484567,0.0,0.0
-2169.605180806236,-558.1552436528533,-106.87313621835874,0.0,0.0
-2239.5227225658323,30.10577025940259,-117.37666566455036,0.0,0.0
-2155.3195195393137,608.6146329488132,-119.7130645997671,0.0,0.0
-1926.2487280249302,1143.119845193194,-113.96702961521753,0.0,0.0
-1563.5572643009625,1604.791811752289,-100.39055512639982,0.0,0.0
-1042.310323493728,-1705.1660502803793,-34.61006505725604,0.0,0.0
-1425.1180355053416,-1400.305574213947,-58.16361188862416,0.0,0.0
-1744.7332085076534,-971.9720032383516,-79.85280181690656,0.0,0.0
-1933.5690642519846,-497.43229323258447,-95.2461942009892,0.0,0.0
-1995.8800773946657,26.830485970943126,-104.60700131538162,0.0,0.0
-1920.8375963898782,542.4020294098069,-106.68923304548863,0.0,0.0
-1716.6879133815112,1018.7572119863178,-101.56833038784013,0.0,0.0
-1393.4543441135488,1430.2028812732558,-89.46884912913428,0.0,0.0
-928.9309372228233,-1519.6832648004706,-30.845284597574572,0.0,0.0
-1270.0980219861533,-1247.9845631287458,-51.8367453573258,0.0,0.0
-1554.9463733512357,-866.243891814644,-71.16665640044376,0.0,0.0
-1723.2412184968478,-443.3231113460853,-84.88558052106708,0.0,0.0
-1778.7742425731274,23.911968473381048,-93.22816396607105,0.0,0.0
-1711.8946564928858,483.40119238948483,-95.08388973274448,0.0,0.0
-1529.9517018816177,907.9399212645279,-90.52001239810893,0.0,0.0
-1241.8786568211544,1274.6297945528177,-79.73670304562027,0.0,0.0
-827.8620827974102,-1354.339655085272,-27.489280595968545,0.0,0.0
-1131.909654927121,-1112.2021561480517,-46.1968291845362,0.0,0.0
-1385.766147964795,-771.9953682387038,-63.42361220341358,0.0,0.0
-1535.750320725505,-395.08896681766424,-75.64992144429414,0.0,0.0
-1585.2412978236625,21.31028828495284,-83.08481419133194,0.0,0.0
-1525.6382537611223,430.8065098896355,-84.73863235251626,0.0,0.0
-1363.491024796872,809.1548328521732,-80.67132914666203,0.0,0.0
-1106.7606005468003,1135.948304648276,-71.06123474697704,0.0,0.0
-737.8025026301806,-1207.0069457879326,-24.49882818898367,0.0,0.0
-1008.7741137644098,-991.2105511945391,-41.171271722562516,0.0,0.0
-1235.0146349629363,-688.0133616266625,-56.52402704675984,0.0,0.0
-1368.6826158261335,-352.1089436917872,-67.42026702179321,0.0,0.0
-1412.7898100598475,18.992046614141028,-74.04637911942041,0.0,0.0
-1359.6706578631627,383.94094922348944,-75.52027740033891,0.0,0.0
-1215.1627260600944,721.1304387020588,-71.89543375872451,0.0,0.0
-986.3608474478935,1012.3734189652209,-63.33078022954816,0.0,0.0
-657.5674834274928,-1075.746563216232,-21.834623148279,0.0,0.0
-899.0712569180147,-883.4176995310501,-36.69395294703667,0.0,0.0
-1100.7085406367723,-613.1928384780223,-50.37713947667864,0.0,0.0
-1219.8403144632412,-313.8175826696943,-60.08842736620815,0.0,0.0
-1259.1508453733036,16.92667204755095,-65.99394644528024,0.0,0.0
-1211.8083830696687,342.187857922582,-67.30756924393934,0.0,0.0
-1083.0154476209664,642.7084611760837,-64.0769151833813,0.0,0.0
-879.0954752998446,902.2791922788361,-56.44365785689084,0.0,0.0
-586.0323154846892,-958.7187687035686,-19.45928179030482,0.0,0.0
-801.2634876367625,-787.3128525738094,-32.70210558427163,0.0,0.0
-980.9651244303254,-546.485075429471,-44.896729128403905,0.0,0.0
-1087.1368543485119,-279.67813466632794,-53.55155338588943,0.0,0.0
-1122.1708870749342,15.08526413851654,-58.81462292181247,0.0,0.0
-1079.978626744861,304.96208745945484,-59.9853288689163,0.0,0.0
-965.1967934021714,572.7897640271875,-57.10613716945101,0.0,0.0
-783.4607847902861,804.1224379856508,-50.30327949751333,0.0,0.0
-522.2796543627213,-854.4225530317534,-17.342375754832588,0.0,0.0
-714.0964490439698,-701.6633927605083,-29.144548263087586,0.0,0.0
-874.2488162116598,-487.0345689104544,-40.012541549238044,0.0,0.0
-968.8704417314062,-249.2527706011413,-47.72584003782991,0.0,0.0
-1000.0932546165918,13.444179635361994,-52.41635625790247,0.0,0.0
-962.4910531955861,271.7861677940128,-53.45972065765663,0.0,0.0
-860.1959189638884,510.4776717164275,-50.8937360180905,0.0,0.0
-698.2304694215825,716.64430705905,-44.830948215872745,0.0,0.0
-465.4748428719927,-761.4929195811479,-15.45615650120856,0.0,0.0
-636.4291014382352,-625.3483379238178,-25.974698596167837,0.0,0.0
-779.1628140292739,-434.06317652830387,-35.6606534492529,0.0,0.0
-863.4930615855725,-222.14326194929515,-42.53502030681344,0.0,0.0
-891.3199795971992,11.98195371867431,-46.71539168797702,0.0,0.0
-857.8074882284576,242.22585013345696,-47.64526787191897,0.0,0.0
-766.6383053073722,454.95650494967094,-45.35836314642408,0.0,0.0
-622.2887153938295,638.699890326416,-39.95498715419126,0.0,0.0
-414.827625714303,-678.6366542786378,-13.774406602225772,0.0,0.0
-567.1807301813658,-557.3056644388708,-23.14844474542306,0.0,0.0
-694.3839258522668,-386.83378317095935,-31.780496956670447,0.0,0.0
-769.5384052547466,-197.97237695276624,-37.90687904843667,0.0,0.0
-794.3375399455063,10.678230836777917,-41.63239326811725,0.0045186076,1.0
-764.471471267629,215.8698518282909,-42.46109455062844,0.0,0.0
-683.2221917035964,405.45379135047995,-40.42302343172035,0.0,0.0
-554.578958041904,569.2044575932618,-35.60757858243143,0.0,0.0
-369.69552108999756,-604.8028806829649,-12.275789481779004,0.0,0.0
-505.47303851699735,-496.67232028033953,-20.629959542017684,0.0,0.0
-618.836874641313,-344.7473498852892,-28.32287012948582,0.0,0.0
-685.8147376924281,-176.43352733158636,-33.78272054710316,0.0,0.0
-707.9157792001153,9.516471737415078,-37.102901368842424,0.007163058,1.0
-681.2991201178447,192.3838032843472,-37.841449010965796,0.0,0.0
-608.8894967294232,361.3415419370334,-36.025109938594696,0.0,0.0
-494.24228009121737,507.27658617846816,-31.733570011507695,0.0,0.0
-329.4966800156669,-539.0396334052602,-10.940984009572878,0.0,0.0
-450.5104175764346,-442.6666625841201,-18.386763139269945,0.0,0.0
-551.5476589570872,-307.26124989412483,-25.243186354747902,0.0,0.0
-611.2426832362913,-157.24902562037633,-30.109360663722335,0.0,0.0
-630.940559735026,8.481697851012244,-33.068519861212216,0.045407865,4.0
-607.2180408341374,171.46494168357845,-33.72675833375397,0.0,0.0
-542.6819368731678,322.05105378645686,-32.10792818243288,0.0,0.0
-440.5008672339907,452.1178439760739,-28.283023614945407,0.0,0.0
-293.5939891975181,-480.3046336488237,-9.748830610011424,0.0,0.0
-401.421792060012,-394.43267494641736,-16.383299657414362,0.0,0.0
-491.4497372630908,-273.78135564334997,-22.492627595076097,0.0,0.0
-544.640323951732,-140.11481944733234,-26.82857741829723,0.054026652,3.0
-562.1918598279525,7.557508175398193,-29.465299182848042,0.21610661,12.0
-541.0541840790488,152.7817216424504,-30.051812529874265,0.0,0.0
